code,name,prev_shares,curr_shares,shares_delta,prev_weight,curr_weight,weight_delta,status
8996,高力,1630000,1630000,0,5.12,5.33,0.20999999999999996,WEIGHT_CHANGE
6584,南俊國際,2231000,2231000,0,2.99,3.11,0.11999999999999966,WEIGHT_CHANGE
1815,富喬,11420868,11420868,0,3.48,3.58,0.10000000000000009,WEIGHT_CHANGE
2383,台光電,465000,465000,0,6.04,6.14,0.09999999999999964,WEIGHT_CHANGE
3231,緯創,7245000,7245000,0,3.24,3.31,0.06999999999999984,WEIGHT_CHANGE
6223,旺矽,268000,268000,0,3.64,3.71,0.06999999999999984,WEIGHT_CHANGE
8046,南電,968000,968000,0,2.5,2.57,0.06999999999999984,WEIGHT_CHANGE
3008,大立光,293000,293000,0,4.76,4.8,0.040000000000000036,WEIGHT_CHANGE
4958,臻鼎-KY,1000000,1000000,0,1.19,1.22,0.030000000000000027,WEIGHT_CHANGE
3189,景碩,844013,844013,0,1.69,1.71,0.020000000000000018,WEIGHT_CHANGE
2376,技嘉,508000,508000,0,0.43,0.44,0.010000000000000009,WEIGHT_CHANGE
3081,聯亞,63000,63000,0,0.43,0.44,0.010000000000000009,WEIGHT_CHANGE
5289,宜鼎,99952,99952,0,0.31,0.32,0.010000000000000009,WEIGHT_CHANGE
2301,光寶科,659000,659000,0,0.46,0.45,-0.010000000000000009,WEIGHT_CHANGE
2454,聯發科,145000,145000,0,1.65,1.64,-0.010000000000000009,WEIGHT_CHANGE
3711,日月光投控,250000,250000,0,0.39,0.38,-0.010000000000000009,WEIGHT_CHANGE
5347,世界,629000,629000,0,0.25,0.24,-0.010000000000000009,WEIGHT_CHANGE
6139,亞翔,250000,250000,0,0.45,0.44,-0.010000000000000009,WEIGHT_CHANGE
8150,南茂,1957000,1957000,0,0.43,0.42,-0.010000000000000009,WEIGHT_CHANGE
2357,華碩,196000,196000,0,0.47,0.45,-0.019999999999999962,WEIGHT_CHANGE
2404,漢唐,155000,155000,0,0.4,0.38,-0.020000000000000018,WEIGHT_CHANGE
5274,信驊,11000,11000,0,0.5,0.48,-0.020000000000000018,WEIGHT_CHANGE
3026,禾伸堂,261000,261000,0,0.51,0.48,-0.030000000000000027,WEIGHT_CHANGE
6515,穎崴,51000,51000,0,0.89,0.86,-0.030000000000000027,WEIGHT_CHANGE
2455,全新,2150000,2150000,0,2.76,2.72,-0.03999999999999959,WEIGHT_CHANGE
3665,貿聯-KY,1161000,1161000,0,5.41,5.36,-0.04999999999999982,WEIGHT_CHANGE
3017,奇鋐,1001000,1001000,0,8.37,8.3,-0.06999999999999851,WEIGHT_CHANGE
1303,南亞,5445000,5445000,0,3.21,3.14,-0.06999999999999984,WEIGHT_CHANGE
8021,尖點,2682000,2682000,0,2.84,2.76,-0.08000000000000007,WEIGHT_CHANGE
2345,智邦,1074000,1074000,0,5.1,4.98,-0.11999999999999922,WEIGHT_CHANGE
2059,川湖,205000,205000,0,6.24,6.09,-0.15000000000000036,WEIGHT_CHANGE
3661,世芯-KY,215000,215000,0,2.11,1.93,-0.17999999999999994,WEIGHT_CHANGE
3653,健策,33000,33000,0,0.46,0.47,0.009999999999999953,SAME
2330,台積電,1116000,1116000,0,6.61,6.62,0.009999999999999787,SAME
3037,欣興,2482000,2482000,0,5.96,5.97,0.009999999999999787,SAME
6669,緯穎,429675,429675,0,2.43,2.44,0.009999999999999787,SAME
2360,致茂,76000,76000,0,0.4,0.4,0.0,SAME
3443,創意,164000,164000,0,2.47,2.47,0.0,SAME
6187,萬潤,134000,134000,0,0.41,0.41,0.0,SAME
6213,聯茂,373000,373000,0,0.47,0.47,0.0,SAME
6274,台燿,113000,113000,0,0.38,0.38,0.0,SAME
