code,name,shares,weight
3017,奇鋐,1001000,8.3
2330,台積電,1116000,6.63
3665,貿聯-KY,1161000,6.2
2059,川湖,205000,6.19
3037,欣興,2482000,5.88
8996,高力,1630000,5.63
2383,台光電,465000,5.49
2345,智邦,1104000,4.95
3008,大立光,293000,4.55
6223,旺矽,268000,3.76
1815,富喬,11420868,3.3
3231,緯創,7245000,3.26
1303,南亞,5445000,3.13
6584,南俊國際,2231000,3.1
8021,尖點,2682000,2.98
3443,創意,164000,2.83
8046,南電,968000,2.57
2455,全新,1700000,2.28
6669,緯穎,429675,2.22
3189,景碩,844013,1.7
2454,聯發科,145000,1.65
4958,臻鼎-KY,1000000,1.14
6515,穎崴,51000,0.79
5274,信驊,11000,0.51
3026,禾伸堂,261000,0.5
6213,聯茂,373000,0.46
2301,光寶科,659000,0.45
2357,華碩,196000,0.45
8150,南茂,1957000,0.44
2376,技嘉,508000,0.44
6139,亞翔,250000,0.44
3081,聯亞,63000,0.44
3653,健策,33000,0.44
2404,漢唐,155000,0.42
2360,致茂,76000,0.42
6187,萬潤,134000,0.4
3711,日月光投控,250000,0.39
6274,台燿,113000,0.37
5289,宜鼎,99952,0.32
5347,世界,629000,0.26
