code,name,prev_shares,curr_shares,delta,status
8021,尖點,0,500000,500000,NEW
1519,華城,294000,294000,0,SAME
2059,川湖,133000,133000,0,SAME
2308,台達電,506000,506000,0,SAME
2317,鴻海,323000,323000,0,SAME
2330,台積電,569000,569000,0,SAME
2344,華邦電,1079000,1079000,0,SAME
2345,智邦,353000,353000,0,SAME
2360,致茂,307000,307000,0,SAME
2368,金像電,271000,271000,0,SAME
2382,廣達,363000,363000,0,SAME
2383,台光電,297000,297000,0,SAME
2408,南亞科,955000,955000,0,SAME
2449,京元電子,440000,440000,0,SAME
2451,創見,950000,950000,0,SAME
3017,奇鋐,366000,366000,0,SAME
3037,欣興,367000,367000,0,SAME
3131,弘塑,139000,139000,0,SAME
3163,波若威,631000,631000,0,SAME
3189,景碩,215000,215000,0,SAME
3231,緯創,592000,592000,0,SAME
3260,威剛,826000,826000,0,SAME
3324,雙鴻,230000,230000,0,SAME
3443,創意,25000,25000,0,SAME
3529,力旺,74000,74000,0,SAME
3653,健策,14000,14000,0,SAME
3661,世芯-KY,30000,30000,0,SAME
3665,貿聯-KY,308000,308000,0,SAME
4749,新應材,132000,132000,0,SAME
5274,信驊,9000,9000,0,SAME
5289,宜鼎,158000,158000,0,SAME
5439,高技,123000,123000,0,SAME
5536,聖暉*,253000,253000,0,SAME
6223,旺矽,171000,171000,0,SAME
6274,台燿,600000,600000,0,SAME
6442,光聖,124000,124000,0,SAME
6515,穎崴,97000,97000,0,SAME
6531,愛普*,233000,233000,0,SAME
6584,南俊國際,584000,584000,0,SAME
6669,緯穎,84000,84000,0,SAME
6781,AES-KY,183000,183000,0,SAME
6805,富世達,138000,138000,0,SAME
7769,鴻勁,88000,88000,0,SAME
8046,南電,147000,147000,0,SAME
8210,勤誠,182000,182000,0,SAME
8299,群聯,343000,343000,0,SAME
8358,金居,700000,700000,0,SAME
8996,高力,366000,366000,0,SAME
